"Study ID","dateFrom","dateTo","variant","sumcount","freq","per","source","Outbreak_count_total"
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Early-clades",1478,0.00122206429645725,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Beta",473,0.000391093648324953,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Alpha",64096,0.0529969101121273,"5%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Gamma",227,0.000187691877737345,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Delta",1130174,0.934469075902761,"93%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Kappa",470,0.000388613138927544,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Epsilon",4,3.30734586321314e-06,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Eta",181,0.000149657400310394,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Theta",5,4.13418232901642e-06,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Iota",12,9.92203758963941e-06,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Lambda",4,3.30734586321314e-06,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Mu",75,6.20127349352463e-05,"0%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12","Omicron_BA",12227,0.0101097294673768,"1%","LAPIS",NA
"71628_Turtle 2023(wave 3-Delta)","2021-04-01","2021-12-12",NA,3,2.48050939740985e-06,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Early-clades",252742,0.209382453402127,"21%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Beta",2281,0.00188967950008409,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Alpha",194480,0.161115681357454,"16%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Gamma",22007,0.018231554913788,"2%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Delta",642660,0.532407464938202,"53%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Kappa",246,0.00020379708768991,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Epsilon",45526,0.0377157163177677,"4%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Eta",1062,0.000879806939539369,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Theta",19,1.57404254719849e-05,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Iota",37308,0.0309075680794113,"3%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Lambda",1135,0.000940283311089627,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Mu",5331,0.00441643201006062,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Omicron_BA",191,0.000158232698165743,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Omicron_XBB",23,1.90541992555607e-05,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30","Omicron_JN",1,8.28443445893944e-07,"0%","LAPIS",NA
"71512_Nolan 2023","2020-02-01","2021-09-30",NA,2071,0.00171570637644636,"0%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Early-clades",38113,0.178991415099656,"18%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Beta",3445,0.0161788740067252,"2%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Alpha",150926,0.708799053218868,"71%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Gamma",1359,0.00638231923806661,"1%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Delta",17302,0.0812559878270997,"8%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Kappa",137,0.000643397892284861,"0%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Epsilon",16,7.51413596829035e-05,"0%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Eta",1175,0.00551819360171322,"1%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Theta",29,0.000136193714425263,"0%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Iota",44,0.000206638739127985,"0%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Lambda",171,0.000803073281611031,"0%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Mu",184,0.00086412563635339,"0%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01","Omicron_BA",4,1.87853399207259e-05,"0%","LAPIS",NA
"74954_Kodde 2023","2020-01-01","2021-08-01",NA,27,0.0001268010444649,"0%","LAPIS",NA
"68513_Udovica 2022","2020-03-01","2021-03-31","Early-clades",31,0.279279279279279,"28%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Early-clades",125566,0.361497049085936,"36%","LAPIS",NA
"68513_Udovica 2022","2020-03-01","2021-03-31","Beta",2,0.018018018018018,"2%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Beta",597,0.00171872750827695,"0%","LAPIS",NA
"68513_Udovica 2022","2020-03-01","2021-03-31","Alpha",78,0.702702702702703,"70%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Alpha",220508,0.63482942277242,"63%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Gamma",45,0.000129552324744494,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Delta",70,0.000201525838491435,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Kappa",82,0.000236073125089967,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Epsilon",18,5.18209298977976e-05,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Eta",355,0.00102202389520656,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Theta",4,1.15157621995106e-05,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Iota",11,3.16683460486541e-05,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Lambda",3,8.63682164963293e-06,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31","Omicron_BA",46,0.000132431265294372,"0%","LAPIS",NA
"71628_Turtle 2023(wave 2-Alpha)","2020-09-01","2021-03-31",NA,45,0.000129552324744494,"0%","LAPIS",NA
"75567_Bazgir 2022","2020-03-05","2021-03-21","Early-clades",14,1,"100%","LAPIS",NA
"67898_Plais 2022","2020-03-12","2021-03-08","Early-clades",13357,0.965729159135276,"97%","LAPIS",NA
"67898_Plais 2022","2020-03-12","2021-03-08","Beta",63,0.00455498517822283,"0%","LAPIS",NA
"67898_Plais 2022","2020-03-12","2021-03-08","Alpha",380,0.0274745137734076,"3%","LAPIS",NA
